station_identity,station_deletion,station_name,station_latitude,station_longitude,zone,postcode,direction_identity
18b4ff61-beb5-46c8-a02b-9bb2c86952a2,false,Chadwell Heath,51.56804709196961,0.1289011125681798,5,RM6 4BE,c31d725d-5697-4031-94b4-0b4545cf75ef
1f392780-058f-4c29-9cd5-c56c538abc17,false,Chafford Hundred,51.485554969647055,0.2874757055480307,7,RM16 6QQ,c31d725d-5697-4031-94b4-0b4545cf75ef
09a51f7b-eb5c-4e59-95b9-1e794f9fa484,false,Chalfont and Latimer,51.66790656389214,-0.5610677589431823,8,HP7 9PR,56f2aa1c-b9ad-4a39-a5cb-fb55a75e1355
4b98db3e-0783-44af-b754-d21db1ec905a,false,Chalk Farm,51.54414883734655,-0.1537330695060796,2,NW3 2BP,9beb28ec-f491-4ffd-8601-0ad71c0bdbc2
d6281a4d-bb07-4586-84b6-c4eab9b52dc4,false,Chancery Lane,51.51849383581988,-0.1119620267624171,1,WC1V 6DR,fa3a9c79-9948-4923-ac41-55e5962faba9
d1e053d2-34e4-4f3b-b83f-c4fb92769880,false,Charing Cross,51.50835842818622,-0.1248029372330441,1,WC2N 5HS,fa3a9c79-9948-4923-ac41-55e5962faba9
69442893-af89-4806-bead-478c1a7631c5,false,Charlton,51.48683504159718,0.030941644861415,3,SE7 7AB,4e8ce58e-daea-4d93-9490-11e0724e6445
c2c4b32f-2edd-4f93-8011-cc4cce502157,false,Cheam,51.35545989418584,-0.2142112809279711,5,SM3 8RZ,4e8ce58e-daea-4d93-9490-11e0724e6445
c484ae06-2490-4506-9092-6f69217936e1,false,Chelsfield,51.3562647640171,0.1089841204169227,6,BR6 6EU,a1f41008-b499-4a71-82d4-444dc4d71d82
7e098a56-3715-4743-9bfd-269c535a50ef,false,Chesham,51.705379023301255,-0.6114296352979314,9,HP5 1DH,56f2aa1c-b9ad-4a39-a5cb-fb55a75e1355
b1fc5eaf-32d5-4a24-b37f-3c31e4798e65,false,Cheshunt,51.70287327834175,-0.0238874154296612,8,EN8 9AQ,c31d725d-5697-4031-94b4-0b4545cf75ef
cc9fc0ae-23c9-4d40-9dee-95c03b856964,false,Chessington North,51.364242952267205,-0.3004761235978513,6,KT9 2RT,d68422e6-b4c1-4d76-ad60-6fdc8758d831
ca7d7c10-758e-4b1a-a4ac-2365c0d2086c,false,Chessington South,51.35670402954921,-0.3070890151938865,6,KT9 2DD,d68422e6-b4c1-4d76-ad60-6fdc8758d831
da2115d8-9a72-4822-874b-441a016389a0,false,Chigwell,51.61785799974183,0.0761792153523027,4,IG7 6NT,c31d725d-5697-4031-94b4-0b4545cf75ef
89d0be45-fb9e-4d2c-a744-2c48be22cf8b,false,Chingford,51.63325339188138,0.0095143255308797,5,E4 6AL,d760aad1-f5d3-476a-9030-9fb1c919b639
91e1a66f-822d-46f0-bad3-3b07014b1ef7,false,Chipstead,51.30927470676411,-0.1694458678346424,6,CR5 3TD,a1f41008-b499-4a71-82d4-444dc4d71d82
2a5a8701-e5c4-4219-939d-2375fa41a7ea,false,Chislehurst,51.405598505329735,0.0574918216477489,5,BR7 5NN,a1f41008-b499-4a71-82d4-444dc4d71d82
31a330c1-7aa6-4e34-80a2-56e36d5f808f,false,Chiswick,51.48078105961514,-0.2670133177082469,3,W4 2QE,095bb39d-fce2-48a9-a766-d2c297c55985
a809b06c-2954-4e64-9fa5-79051612d389,false,Chiswick Park,51.49437027794272,-0.2677369179922983,3,W4 5NE,095bb39d-fce2-48a9-a766-d2c297c55985
1f74a769-4e3b-46b6-94d6-b206a532695b,false,Chorleywood,51.65426508092765,-0.5183339108571566,7,WD3 5ND,56f2aa1c-b9ad-4a39-a5cb-fb55a75e1355
49a0734f-bea4-4e3d-ae27-61595f0b380d,false,Church Street,51.37370639339632,-0.1043468282681188,"3,4,5,6",CR0 1RN,a1f41008-b499-4a71-82d4-444dc4d71d82
1fb0c041-e7ac-4df4-a197-20518fad1038,false,City Thameslink,51.5139349006601,-0.1036184485528027,1,EC4M 7JH,fa3a9c79-9948-4923-ac41-55e5962faba9
c13c85c6-6544-49cc-8b21-45899b992816,false,Clapham Common,51.46180344580792,-0.1383149013879234,2,SW4 7AJ,4e8ce58e-daea-4d93-9490-11e0724e6445
72f3cd4b-62fc-49d8-8b1e-8bed2954a250,false,Clapham High Street,51.46546929922253,-0.132464501562701,2,SW4 6DQ,4e8ce58e-daea-4d93-9490-11e0724e6445
7fa845a7-a3fd-4eff-921d-0a8415dc32c5,false,Clapham Junction,51.46436650778944,-0.1703150005441662,2,SW11 2QP,4e8ce58e-daea-4d93-9490-11e0724e6445
2bd263ff-b94b-4028-9513-bcc026e1748f,false,Clapham North,51.46491600472909,-0.1299100619146426,2,SW4 7TS,4e8ce58e-daea-4d93-9490-11e0724e6445
a9363065-6046-4c1c-bf5c-f0194750a613,false,Clapham South,51.45267624920499,-0.1479840683302919,"2,3",SW12 9DU,4e8ce58e-daea-4d93-9490-11e0724e6445
debe8a35-cd92-41a3-b1c7-e77954bb269a,false,Clapton,51.56156899642487,-0.0574894582650097,2,E5 9JP,d760aad1-f5d3-476a-9030-9fb1c919b639
0f4e275f-6afd-401c-ae58-4a8f2f0c32a0,false,Clock House,51.408540496896926,-0.0407020924973615,4,BR3 4PR,a1f41008-b499-4a71-82d4-444dc4d71d82
f1fa5160-bfe8-406a-b817-24f3a52cb5c2,false,Cockfosters,51.65202423620424,-0.149916709772051,5,EN4 0DZ,c31d725d-5697-4031-94b4-0b4545cf75ef
297be0c9-fdcc-481f-8620-ed73df65a42f,false,Colindale,51.59523010894074,-0.2502875400711353,4,NW9 5HR,9beb28ec-f491-4ffd-8601-0ad71c0bdbc2
a58067e9-8fd6-4c12-93d0-d5d394116d20,false,Colliers Wood,51.41875889952969,-0.1774150980496051,3,SW19 2HR,4e8ce58e-daea-4d93-9490-11e0724e6445
6f693829-9211-49c6-9cc1-875a30fea3d7,false,Coombe Lane,51.35978921448624,-0.059531571121806,"3,4,5,6",CR0 5RF,a1f41008-b499-4a71-82d4-444dc4d71d82
