pub_identity,station_identity,detail_name,address,category,colour,detail_deletion,detail_latitude,detail_longitude,extra,place,rank
e320b2dd-c3d6-42e0-86cf-697ea8b1342a,ade0de5f-3956-463f-912f-bdb63b5174a5,The Rose & Crown,"199 Stoke Newington Church St, London N16 9ES, UK",Bar,#000000,False,51.56103686095211,-0.083690620958805,Classic pub with open fire,ChIJJVh1v3wcdkgRwB3qqAhyAV4,4.2
66734d9a-3068-45b3-bf5a-b81cc4fc86fd,ade0de5f-3956-463f-912f-bdb63b5174a5,Ryan's,"181 Stoke Newington Church St, London N16 0UL, UK",Bar,#0275d8,False,51.56109522261819,-0.0828460603952407,Live music and DJs,ChIJc0VetnwcdkgRIcfMOQuZCzE,4.3
bd3d76b8-8795-4321-85f9-39a8397e5fdb,ade0de5f-3956-463f-912f-bdb63b5174a5,The Red Lion,"132 Stoke Newington Church St, London N16 0JX, UK",Bar,#0275d8,False,51.56210486758562,-0.0805453956127166,Sun 7pm quiz,ChIJk6ATYWMcdkgRxhI30azD2xU,4.2
b9f54374-667d-4707-9e63-ca4802154f9a,ade0de5f-3956-463f-912f-bdb63b5174a5,The Jolly Butchers,"204 Stoke Newington High St, London N16 7HU, UK",Bar,#0275d8,False,51.56251630607127,-0.073341317474842,Traditional pub,ChIJy0JPKmccdkgReNZwulqamE4,4.3
83573cce-0fe4-4200-8119-aa22f0657622,2a829aac-cd42-4f92-bb27-7417ea56f4fd,The Shacklewell Arms,"71 Shacklewell Ln, London E8 2EB, UK",Bar,#0275d8,False,51.5523545204222,-0.0713628530502319,Daily live music,ChIJqySmWoscdkgR2XYB09kd2so,4.4
a25aa1c3-6e88-463f-a532-e5c6741cc6e3,75d3e34e-3654-4a83-b2a6-bb658144d808,The Carpenters Arms,"73 Cheshire St, London E2 6EG, UK",Bar,#000000,False,51.52396520610542,-0.0673462450504303,Classic pub,ChIJP-pdycgcdkgRCjk_FosnOW8,4.4
72f45121-bf7c-4972-b941-7ccdaa076356,304d4163-36ed-460b-ab8a-527725e92d15,Fairgame,"25 Fishermans Walk, London E14 4DH, UK",Bar,#000000,False,51.50627920128639,-0.0219126418232917,Fairground games,ChIJ6ePadIEDdkgRRVH3nx0rILw,4.7
e7a5873d-e2ce-45d0-bbd3-f3a37575a672,304d4163-36ed-460b-ab8a-527725e92d15,Electric Shuffle,"10 Cabot Square, N Colonnade, London E14 4EY, UK",Bar,#0275d8,False,51.505706981945394,-0.0217815488576889,Shuffleboard,ChIJpcqoKYsDdkgREJNq7R8ra9Q,4.4
ef3de685-4c13-4560-bd49-e6060f9ea86b,cc0fd079-fd3a-4dfe-a84a-7e6d54e0db6e,The Henry Addington,"22-28 Mackenzie Walk, London E14 4PH, UK",Bar,#0275d8,False,51.50432753232943,-0.0224745646119117,Riverside bar with outdoor seating,ChIJDQxe9bcCdkgR-JRPgVrpeDY,4.1
132ae07c-5a77-4646-b439-efb23e4ae3cf,8bb02ca7-6c03-4d01-a168-9d5573e114ee,Pergola on the Wharf,"Crossrail Pl, London E14 5AR, UK",Bar,#0275d8,False,51.50592902560635,-0.0160704553127288,Riverside bar,ChIJGZCpa_4DdkgRhp_45r0lcTs,3.7
