pub_identity,monday,tuesday,wednesday,thursday,friday,saturday,sunday
33a2aa89-d62a-4962-9655-e21e1ddb2348,no events,no events,no events,no events,no events,no events,no events
33e2d423-03c7-4afa-af3f-8cc716675346,no events,no events,no events,no events,no events,no events,no events
33ed0695-3eaa-46b5-9edf-29531eb2952d,no events,no events,no events,no events,no events,no events,no events
34309755-2f23-4ca1-9364-121e9c9c13cb,no events,no events,no events,no events,no events,no events,7pm quiz
345fea34-709f-4da4-b05b-531340ceca92,TBC,TBC,TBC,TBC,TBC,TBC,TBC
348549ff-4830-4c4f-906f-90a84e1cfb96,no events,no events,no events,no events,no events,no events,no events
34884411-b1fd-4746-9d3d-790d803464ed,no events,no events,no events,no events,no events,no events,no events
34cf8a86-8ad8-4a9a-b8ca-0569b43de2db,no events,no events,no events,no events,no events,no events,no events
350d77be-b4c5-4984-ab2f-6d2de41415e0,7.30pm quiz,no events,no events,no events,no events,no events,no events
35562c4e-3c2f-4a4f-add6-e8c7f407bcf9,no events,no events,no events,no events,no events,no events,no events
35ce64f3-76a5-4b65-a8a8-88324cbb95a0,no events,8.30pm quiz,no events,Live music,no events,Live music,Live music
365a5ea5-03c6-4caa-8424-7a33339d0642,no events,no events,no events,Live jazz music,no events,no events,no events
36f830c1-9a7a-481a-a77e-18c2d9ee15ac,no events,Poker night,Darts competition,no events,Karaoke,no events,Games night
376cd451-32f0-4895-8f0e-ce61fb413b6d,Quiz 9pm,no events,no events,no events,no events,no events,no events
37f513bc-6222-467a-a455-525df9d58d30,no events,no events,no events,no events,no events,no events,no events
37fe2046-8028-40ca-bf77-c2e2ef611671,no events,no events,no events,no events,no events,no events,no events
38d44e17-8ce7-4c52-a3fd-fa23fe26a942,no events,no events,no events,no events,no events,no events,no events
38e32595-06fa-4386-831e-d68ce67c21e2,no events,no events,no events,no events,no events,no events,no events
390c3f91-bd96-45a4-88da-a47c537cfe89,no events,no events,no events,no events,no events,no events,no events
3916362a-8875-4f22-9dbc-fefcd9e08cb5,no events,no events,no events,no events,no events,no events,no events
3993b00b-0847-4431-9392-ff60a69e1074,no events,no events,Quiz 7.30pm 1st/3rd Wed of the month,no events,no events,no events,no events
3994296a-ca1a-4a2d-863b-7e84f25b11eb,TBC,TBC,TBC,TBC,TBC,TBC,TBC
39b363b6-9622-4c44-b828-fc7fcbe5de54,,,,,,,
39be1804-889f-4c3a-8941-a8d050a75d21,no events,no events,no events,no events,no events,no events,no events
3a5c1bf9-6e93-44d8-8b3f-3b25e7e8e155,no events,no events,no events,no events,no events,no events,no events
3a8a9c75-157f-42f4-8a59-ea416e933c99,no events,no events,no events,no events,no events,no events,no events
3a9f3f92-5149-4e45-a962-97220c43a1cc,no events,no events,no events,no events,no events,no events,no events
3b05d8a9-6c34-4508-a0ba-a8dec0354501,no events,no events,no events,no events,no events,no events,no events
3b57f89c-3f4b-4557-8410-ddaa82637220,Closed,Closed,Closed,Closed,Live music & DJs,Live music & DJs,Closed
3b8f956e-0a9a-4a8e-9a30-afb90e73eae8,no events,no events,no events,no events,no events,no events,no events
3be7b977-74f7-4aac-ac24-387e4eeafb4f,no events,no events,no events,no events,no events,no events,no events
3c0e13d2-57f5-4e20-85da-8c49873b9224,no events,7pm quiz,no events,no events,free beer,no events,dog day
3c5d3d3d-05d0-415e-8b19-9229f77932b1,no events,Quiz,no events,no events,no events,no events,no events
3c88a054-9473-4368-b392-af38c73e9797,no events,no events,no events,no events,no events,no events,no events
3caa5c02-ee38-4a1d-9c2b-39bfcae80981,,,,,,,
3cacdc43-983d-4119-986a-1587674c025e,Closed,Closed,Closed,Closed,no events,no events,no events
3cd77292-ecb6-4d7f-b29f-d0dd14c27324,no events,no events,no events,no events,no events,no events,no events
3ce5eac8-17c9-4a33-aba1-c10f695660ef,Closed,Closed,Closed,no events,no events,no events,no events
3e36642a-c63f-406b-9e10-b70b4ace2d69,no events,no events,no events,no events,no events,no events,Jazz last Sunday of the month
3ebbdbe5-032f-4cc3-ad27-424c04fbf30e,no events,no events,no events,no events,no events,no events,no events
3ec4f64f-6065-4e19-8b70-031605d30962,Quiz,no events,no events,no events,no events,no events,no events
3f6bf04b-f937-4506-95f6-85d35ea6d738,no events,no events,no events,no events,no events,no events,no events
3f98aa20-3786-4f61-a7c9-41c3a480f734,no events,no events,no events,no events,no events,no events,no events
3fae6292-bea4-4022-95ae-3dd2b2554e23,no events,no events,no events,no events,no events,no events,no events
3fb949ca-cd80-45b2-b7c9-d450ee2f2c6d,no events,no events,no events,no events,no events,Closed,Closed
